claim_id,claim_class,claim,status,minimum_evidence,allowed_wording,prohibited_wording
SRC-001,source_report,"The source article reports the values transcribed in PAPER_TARGETS.csv",supported,"Official citation and PAPER_TARGETS.csv","Kumar et al. report the listed values","We reproduced the listed values"
P0-001,software,"The independent P0 reconstruction is executable and deterministic",supported,"Passing tests, CI, config, provenance, and P0 freeze","The repository provides an audited independent reconstruction","This is the authors' code"
P0-002,reproduction,"P0 is numerically equivalent to the authors' implementation",blocked,"Author code or complete transform, datatype, subband, and attack parameters","Exact equivalence remains unverified","We exactly reproduced the paper"
P0-003,security,"AP/GP/HP provides modern cryptographic encryption",prohibited,"A separate key-based construction, threat model, and security analysis","AP/GP/HP is retained as a deterministic mapping","AP/GP/HP is cryptographically secure"
FMT-001,software,"DIGITAL_A_D format v1 is bit-exact and deterministic",supported,"Bitstream, RS, CRC, deterministic permutation, and round-trip tests","Format v1 round-trips exactly before channel corruption","The format proves robustness"
CTRL-001,engineering_control,"C0-C3 execute under the Haar control",supported_control,"Transform audit and deterministic clean integration tests","C0-C3 execute under an orthonormal Haar engineering control","The Haar result is contourlet evidence"
CTRL-002,negative_evidence,"The Python directional proxy supports clean 222360-bit recovery at 45 dB",refuted_for_current_profile,"Recorded clean failure and transform audit","The current proxy failed the locked clean requirement","The proxy was silently tuned until it passed"
PDFB-001,software,"The MATLAB PDFB Stage-0 audit and validator are implemented",supported,"Audit script, validator tests, CLI smoke, and CI","A fail-closed external PDFB audit is implemented","The PDFB runtime passed"
PDFB-002,transform_runtime,"The explicit MATLAB PDFB profile passes Stage 0",pending,"Raw runtime evidence, matching hashes, gate pass, and human review","Runtime status is pending","The profile is validated or author-equivalent"
A-001,mechanism,"Adaptive allocation and power improve recovery on the four traceability cases",pending,"64-row C0-C3 core and per-case A contrasts","On the four named cases the estimated A effect was ...","A always improves recovery"
D-001,mechanism,"Unequal Base/Detail protection improves recovery on the four traceability cases",pending,"64-row C0-C3 core and per-case D contrasts","On the four named cases the estimated D effect was ...","Unequal protection is universally better"
INT-001,mechanism,"A and D have a favorable interaction on the four traceability cases",pending,"64-row C0-C3 core and per-case interaction contrasts","On the four named cases the A-by-D interaction was ...","A and D prove synergistic security"
SUP-001,controlled_case_study,"C3 improves recovery over C0 on the four traceability cases",pending,"Clean gate, 64 mandatory rows, bounded decision rule, and any triggered hard rows within the 88-row cap","On the four source-image traceability cases C3 improved recovery under the named conditions","C3 is universally superior"
ART-001,article_comparison,"C3 is superior to the source article method",blocked,"Approved harmonized transform, payload, data, attacks, quantization, and metrics","C3 was compared with our explicit reconstruction under a harmonized contract","C3 proved the paper wrong or exactly reproduced and beat the authors"
NOV-001,novelty,"A+D is technically novel relative to the closest prior art",pending,"Dated search, closest-method chart, precise mechanism, and bounded C0-C3 ablations","Within the documented search scope we found no prior method with ...","Higher PSNR proves novelty"
SEC-001,security,"Deterministic scrambling and interleaving provide cryptographic secrecy",prohibited,"A separate standard key-based design and security evaluation","Scrambling and interleaving provide deterministic transport randomization","The payload is encrypted or unbreakable"
GEO-001,robustness,"DIGITAL_A_D is robust to rotation and crop",blocked,"A separate synchronization design and new locked protocol","Rotation and crop are P0 stress tests only","The digital method is geometrically robust"
REP-001,reproducibility,"The bounded result can be regenerated from archived evidence",pending,"Persistent code, four-row manifest, 16 stego artifacts, 64-88 raw rows, environment, and analysis package","The bounded release is reproducible from the archived package","The result is reproducible without required inputs or runtime"

